date,item_id,dept_id,cat_id,store_id,forecast_sales,recommended_stock
2016-04-25,FOODS_1_001,FOODS_1,FOODS,CA_1,0.7350925247014892,1
2016-04-25,FOODS_1_002,FOODS_1,FOODS,CA_1,0.01848494571556403,1
2016-04-25,FOODS_1_003,FOODS_1,FOODS,CA_1,0.3826492610538121,1
2016-04-25,FOODS_1_004,FOODS_1,FOODS,CA_1,4.799772924450439e-06,1
2016-04-25,FOODS_1_005,FOODS_1,FOODS,CA_1,1.0529701986236988,2
2016-04-25,FOODS_1_006,FOODS_1,FOODS,CA_1,1.3479423701282325,2
2016-04-25,FOODS_1_008,FOODS_1,FOODS,CA_1,3.110389761430345e-05,1
2016-04-25,FOODS_1_009,FOODS_1,FOODS,CA_1,0.0,0
2016-04-25,FOODS_1_010,FOODS_1,FOODS,CA_1,0.0,0
2016-04-25,FOODS_1_011,FOODS_1,FOODS,CA_1,0.7907827805102023,1
2016-04-25,FOODS_1_012,FOODS_1,FOODS,CA_1,3.098119534011865,4
2016-04-25,FOODS_1_013,FOODS_1,FOODS,CA_1,1.7687898856677586,2
2016-04-25,FOODS_1_014,FOODS_1,FOODS,CA_1,1.0817991527223072,2
2016-04-25,FOODS_1_015,FOODS_1,FOODS,CA_1,0.18669206103520275,1
2016-04-25,FOODS_1_016,FOODS_1,FOODS,CA_1,0.7203156082162061,1
2016-04-25,FOODS_1_017,FOODS_1,FOODS,CA_1,0.7046412278938636,1
2016-04-25,FOODS_1_018,FOODS_1,FOODS,CA_1,10.056051777597814,11
2016-04-25,FOODS_1_019,FOODS_1,FOODS,CA_1,9.014942116449259,10
2016-04-25,FOODS_1_020,FOODS_1,FOODS,CA_1,1.0365420885692855,2
2016-04-25,FOODS_1_021,FOODS_1,FOODS,CA_1,1.534823407266522,2
2016-04-25,FOODS_1_022,FOODS_1,FOODS,CA_1,0.0,0
2016-04-25,FOODS_1_023,FOODS_1,FOODS,CA_1,0.15077971374137716,1
2016-04-25,FOODS_1_024,FOODS_1,FOODS,CA_1,0.2809412796255895,1
2016-04-25,FOODS_1_025,FOODS_1,FOODS,CA_1,0.3028148446835106,1
2016-04-25,FOODS_1_026,FOODS_1,FOODS,CA_1,0.3350428505082908,1
2016-04-25,FOODS_1_027,FOODS_1,FOODS,CA_1,2.078775524676172,3
2016-04-25,FOODS_1_028,FOODS_1,FOODS,CA_1,0.4747510939229961,1
2016-04-25,FOODS_1_029,FOODS_1,FOODS,CA_1,0.0,0
2016-04-25,FOODS_1_030,FOODS_1,FOODS,CA_1,0.1798690586944471,1
2016-04-25,FOODS_1_031,FOODS_1,FOODS,CA_1,0.8586895932741642,1
2016-04-25,FOODS_1_032,FOODS_1,FOODS,CA_1,1.9603611561884398,2
2016-04-25,FOODS_1_033,FOODS_1,FOODS,CA_1,0.6193307009900076,1
2016-04-25,FOODS_1_034,FOODS_1,FOODS,CA_1,1.7628104700153625e-05,1
2016-04-25,FOODS_1_035,FOODS_1,FOODS,CA_1,0.5935434350860698,1
2016-04-25,FOODS_1_036,FOODS_1,FOODS,CA_1,2.065357404816036,3
2016-04-25,FOODS_1_037,FOODS_1,FOODS,CA_1,1.6068279903244886,2
2016-04-25,FOODS_1_038,FOODS_1,FOODS,CA_1,0.01164176733712916,1
2016-04-25,FOODS_1_039,FOODS_1,FOODS,CA_1,0.289147690838855,1
2016-04-25,FOODS_1_040,FOODS_1,FOODS,CA_1,2.3532525951088945,3
2016-04-25,FOODS_1_041,FOODS_1,FOODS,CA_1,0.8831612686342563,1
2016-04-25,FOODS_1_042,FOODS_1,FOODS,CA_1,3.1380088562044515,4
2016-04-25,FOODS_1_043,FOODS_1,FOODS,CA_1,0.00916773176139895,1
2016-04-25,FOODS_1_044,FOODS_1,FOODS,CA_1,1.3296860285493335,2
2016-04-25,FOODS_1_045,FOODS_1,FOODS,CA_1,2.75600993097833,3
2016-04-25,FOODS_1_046,FOODS_1,FOODS,CA_1,8.324563395417783,9
2016-04-25,FOODS_1_047,FOODS_1,FOODS,CA_1,0.7127169464460749,1
2016-04-25,FOODS_1_048,FOODS_1,FOODS,CA_1,0.1782569042480923,1
2016-04-25,FOODS_1_049,FOODS_1,FOODS,CA_1,0.49827028998823875,1
2016-04-25,FOODS_1_050,FOODS_1,FOODS,CA_1,0.8513117145047626,1
2016-04-25,FOODS_1_051,FOODS_1,FOODS,CA_1,0.39295820064052256,1
2016-04-25,FOODS_1_052,FOODS_1,FOODS,CA_1,1.4999086754054,2
2016-04-25,FOODS_1_053,FOODS_1,FOODS,CA_1,0.035226343629406694,1
2016-04-25,FOODS_1_054,FOODS_1,FOODS,CA_1,1.9304600203384632,2
2016-04-25,FOODS_1_055,FOODS_1,FOODS,CA_1,2.010517894429149,3
2016-04-25,FOODS_1_056,FOODS_1,FOODS,CA_1,4.522449240351195e-08,1
2016-04-25,FOODS_1_057,FOODS_1,FOODS,CA_1,5.563734273126851e-06,1
2016-04-25,FOODS_1_058,FOODS_1,FOODS,CA_1,2.1280669166082457e-06,1
2016-04-25,FOODS_1_059,FOODS_1,FOODS,CA_1,0.050873675529595166,1
2016-04-25,FOODS_1_060,FOODS_1,FOODS,CA_1,0.5513333965954027,1
2016-04-25,FOODS_1_061,FOODS_1,FOODS,CA_1,1.9317467495877552,2
2016-04-25,FOODS_1_062,FOODS_1,FOODS,CA_1,0.8420647854408768,1
2016-04-25,FOODS_1_063,FOODS_1,FOODS,CA_1,0.8591361072506617,1
2016-04-25,FOODS_1_064,FOODS_1,FOODS,CA_1,0.973334971872523,1
2016-04-25,FOODS_1_065,FOODS_1,FOODS,CA_1,0.19670153534915183,1
2016-04-25,FOODS_1_066,FOODS_1,FOODS,CA_1,1.1175186719024102,2
