item_id,dept_id,cat_id,store_id,total_28_day_forecast,avg_daily_forecast,max_daily_forecast,forecast_std,lead_time_demand,safety_stock,target_stock_level,current_inventory,recommended_order_qty,reorder_point,needs_reorder,stock_status,risk_level
FOODS_1_001,FOODS_1,FOODS,CA_1,21.494615450868352,0.7676648375310126,0.870247126849027,0.05366341264413487,5.373653862717088,0.0804951189662023,21.575110569834553,6,16,5.45414898168329,1,Reorder Needed,Medium Demand
FOODS_1_002,FOODS_1,FOODS,CA_1,2.043533160885647,0.0729833271744874,0.1168214124807166,0.02261353361319325,0.5108832902214118,0.03392030041978988,2.0774534613054367,19,0,0.5448035906412017,0,No Reorder Needed,Low Demand
FOODS_1_003,FOODS_1,FOODS,CA_1,8.58904343075273,0.30675155109831176,0.4750919218163061,0.10493528795047678,2.1472608576881824,0.15740293192571517,8.746446362678444,28,0,2.3046637896138975,0,No Reorder Needed,Medium Demand
FOODS_1_004,FOODS_1,FOODS,CA_1,4.048188562267119,0.14457816293811138,0.1997109320054667,0.04266095254357898,1.0120471405667797,0.06399142881536847,4.112179991082487,14,0,1.0760385693821481,0,No Reorder Needed,Low Demand
FOODS_1_005,FOODS_1,FOODS,CA_1,27.612605700024062,0.9861644892865736,1.0529701986236988,0.02903274728635299,6.9031514250060155,0.043549120929529485,27.656154820953592,10,18,6.946700545935545,1,Reorder Needed,Medium Demand
FOODS_1_006,FOODS_1,FOODS,CA_1,30.691555795044422,1.096126992680158,1.35798450749509,0.1261113049608652,7.672888948761106,0.1891669574412978,30.88072275248572,7,24,7.862055906202404,1,Reorder Needed,High Demand
FOODS_1_008,FOODS_1,FOODS,CA_1,0.06297817498227956,0.002249220535081413,0.0122066720922699,0.0037145771903432413,0.01574454374556989,0.005571865785514862,0.06855004076779442,28,0,0.021316409531084754,0,No Reorder Needed,Low Demand
FOODS_1_009,FOODS_1,FOODS,CA_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0,No Reorder Needed,Low Demand
FOODS_1_010,FOODS_1,FOODS,CA_1,1.5489709165512675,0.05532038987683098,0.112549532160174,0.03452037552477714,0.3872427291378169,0.05178056328716571,1.6007514798384332,6,0,0.4390232924249826,0,No Reorder Needed,Low Demand
FOODS_1_011,FOODS_1,FOODS,CA_1,19.064919257071523,0.6808899734668401,0.8800817141971536,0.09382706074555489,4.766229814267881,0.14074059111833231,19.205659848189857,25,0,4.906970405386213,0,No Reorder Needed,Medium Demand
FOODS_1_012,FOODS_1,FOODS,CA_1,78.98383383317329,2.8208512083276176,3.248328876292065,0.24746321281924735,19.745958458293323,0.37119481922887104,79.35502865240217,18,62,20.117153277522196,1,Reorder Needed,High Demand
FOODS_1_013,FOODS_1,FOODS,CA_1,45.609965088599445,1.6289273245928373,1.888192804767676,0.14577552237220612,11.402491272149861,0.21866328355830916,45.82862837215775,22,24,11.62115455570817,1,Reorder Needed,High Demand
FOODS_1_014,FOODS_1,FOODS,CA_1,24.023882469919226,0.8579958024971152,1.0817991527223072,0.06699930716253438,6.005970617479806,0.10049896074380157,24.12438143066303,10,15,6.106469578223608,1,Reorder Needed,Medium Demand
FOODS_1_015,FOODS_1,FOODS,CA_1,4.641695621403814,0.16577484362156478,0.2374726124329624,0.04755501608455867,1.1604239053509535,0.071332524126838,4.713028145530652,10,0,1.2317564294777916,0,No Reorder Needed,Low Demand
FOODS_1_016,FOODS_1,FOODS,CA_1,16.937553756789033,0.6049126341710369,0.7524571866078271,0.10614872819962388,4.234388439197258,0.15922309229943582,17.096776849088467,23,0,4.393611531496694,0,No Reorder Needed,Medium Demand
FOODS_1_017,FOODS_1,FOODS,CA_1,10.84845308242376,0.3874447529437057,0.7256335342067488,0.1749121682396258,2.71211327060594,0.2623682523594387,11.110821334783198,20,0,2.9744815229653785,0,No Reorder Needed,Medium Demand
FOODS_1_018,FOODS_1,FOODS,CA_1,224.25923941038087,8.009258550370745,10.056051777597814,1.003915862638031,56.06480985259522,1.5058737939570463,225.76511320433792,3,223,57.57068364655226,1,Reorder Needed,High Demand
FOODS_1_019,FOODS_1,FOODS,CA_1,173.64339026065787,6.201549652166352,9.01494211644926,1.0281046501934752,43.41084756516447,1.542156975290213,175.1855472359481,7,169,44.95300454045468,1,Reorder Needed,High Demand
FOODS_1_020,FOODS_1,FOODS,CA_1,27.75355992808209,0.9911985688600746,1.054811605634843,0.026189681528529754,6.938389982020523,0.03928452229279463,27.792844450374886,23,5,6.977674504313317,1,Reorder Needed,Medium Demand
FOODS_1_021,FOODS_1,FOODS,CA_1,31.304713182519347,1.1180254708042623,1.534823407266522,0.13147758157420883,7.826178295629836,0.19721637236131323,31.50192955488066,2,30,8.023394667991148,1,Reorder Needed,High Demand
FOODS_1_022,FOODS_1,FOODS,CA_1,0.0787101552729977,0.002811076974035632,0.014316022102823,0.005491888147751479,0.019677538818249424,0.008237832221627219,0.08694798749462491,21,0,0.027915371039876645,0,No Reorder Needed,Low Demand
FOODS_1_023,FOODS_1,FOODS,CA_1,6.901173611064028,0.24647048610942957,0.3466519061891341,0.05505683406930921,1.725293402766007,0.08258525110396381,6.983758862167992,20,0,1.8078786538699707,0,No Reorder Needed,Low Demand
